ine.ccaa.name;mort.2019;mort.2020
Andalucía;70505;78160
Aragón;13620;16680
Asturias, Principado de;12893;14550
Balears, Illes;7995;8562
Canarias;15756;16416
Cantabria;6013;6459
Castilla y León;28719;36177
Castilla - La Mancha;19467;25761
Cataluña;64547;79685
Comunitat Valenciana;44016;48600
Extremadura;11261;13060
Galicia;31268;32822
Madrid, Comunidad de;47165;66583
Murcia, Región de;11568;12237
Navarra, Comunidad Foral de;5568;6663
País Vasco;21566;24238
Rioja, La;3147;3699
Ceuta;537;649
Melilla;491;601
